id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm298846,The Incredible Jessica James,MOVIE,"Burned by a bad breakup, a struggling New York City playwright makes an unlikely connection with a divorced app designer she meets on a blind date.",2017,,83.0,"['romance', 'comedy']",['US'],,tt5990342,6.5,7667.0,9.638,6.2
tm414709,Siberia,MOVIE,"Lucas, a diamond trader who travels to Saint Petersburg to arrange a sale, discovers that his Russian business partner has left his hotel and gone to a small Siberian village, so Lucas also heads there to try find him.",2018,R,104.0,"['romance', 'thriller', 'crime', 'european']","['CA', 'US', 'DE']",,tt6494418,4.3,15369.0,22.0,4.8
ts79045,Ugly Delicious,SHOW,"Star chef David Chang leads friends on a mouthwatering, cross-cultural hunt for the world's most satisfying grub. All the flavor. None of the BS.",2018,TV-MA,51.0,['documentation'],['US'],2.0,tt7907916,7.8,3539.0,4.452,7.4
tm367250,The Resistance Banker,MOVIE,"In the occupied Netherlands during World War II, banker Walraven van Hall is asked to use his financial contacts to help the Dutch resistance. With his brother Gijs, he comes up with a risky plan to take out huge loans and use the money to finance the Resistance.",2018,R,124.0,"['drama', 'war', 'european']",['NL'],,tt4610378,6.9,9470.0,12.425,6.7
tm411507,John Mulaney: Kid Gorgeous at Radio City,MOVIE,"John Mulaney relays stories from his childhood and ""SNL,"" eviscerates the value of college and laments getting older in this electric comedy special.",2018,R,64.0,['comedy'],['US'],,tt8271714,7.9,7933.0,5.009,8.0
ts39016,Girlboss,SHOW,"Sophia is a rebellious, broke anarchist who refuses to grow up. She stumbles upon her passion of selling vintage clothes online and becomes an unlikely businesswoman. As she builds her retail fashion empire, she realizes the value and the difficulty of being the boss of her own life.",2017,TV-MA,27.0,['comedy'],['US'],1.0,tt5706996,6.9,17848.0,10.009,6.7
ts75749,Because This Is My First Life,SHOW,"Nam Se-Hee is a single man in his early 30s. He has chosen to not marry. He owns his home, but he owes a lot on his mortgage. Yoon Ji-Ho is a single woman in her early 30s. She does not own a home and envies those that do. She has given up on dating due to her financial struggles. Yoon Ji-Ho begins to live at Nam Se-Hee’s house. They become housemates.",2017,TV-14,69.0,"['drama', 'comedy', 'romance']",['KR'],1.0,tt7278588,8.1,4656.0,17.121,8.6
ts76486,Just Between Lovers,SHOW,Two survivors of a building collapse discover support and love in each other as they overcome the pain of loss and reconstruct a hopeful future.,2017,TV-14,73.0,"['drama', 'romance']",['KR'],1.0,tt7521898,8.2,1979.0,20.502,8.2
tm327199,The Saint,MOVIE,"International master thief, Simon Templar, also known as The Saint, is asked by a desperate rich man to find his kidnapped daughter. However, in addition to evading the authorities, Simon must face a dangerous adversary from his past.",2017,PG-13,92.0,"['crime', 'action']",['US'],,tt2569088,4.9,6669.0,19.06,5.3
tm409766,In Darkness,MOVIE,A blind musician hears a murder committed in the apartment upstairs from hers that sends her down a dark path into London's gritty criminal underworld.,2018,,100.0,['thriller'],"['GB', 'US']",,tt5164184,5.7,13248.0,14.317,6.0
ts79026,The Innocents,SHOW,"When a teenage couple runs away to be together, the extraordinary gift they possess unleashes powerful forces intent on dividing them forever.",2018,TV-MA,46.0,"['scifi', 'drama', 'horror', 'romance', 'thriller']",['GB'],2.0,tt8021824,6.2,5804.0,20.691,6.1
ts87043,Transformers: Rescue Bots Academy,SHOW,"Five students of the Rescue Bots Training Academy from Cybertron—Hot Shot, Whirl, Medix, Hoist and Wedge—learn to respond to emergency situations and become heroes.",2018,TV-Y,12.0,"['animation', 'comedy', 'family', 'scifi', 'action']",[],2.0,tt9557812,6.2,108.0,2.572,10.0
ts55194,Bill Nye Saves the World,SHOW,"Bill Nye explores science and its impact on politics, society and pop culture. Each episode tackles a topic from a scientific point of view, dispelling myths, and refuting anti-scientific claims that may be espoused by politicians, religious leaders or titans of industry.",2017,TV-14,32.0,['comedy'],['US'],3.0,tt6026278,3.5,7233.0,8.356,3.7
ts82892,I Am a Killer,SHOW,Death row inmates convicted of capital murder give a firsthand account of their crimes in this documentary series.,2018,TV-MA,50.0,"['documentation', 'crime']",['GB'],3.0,tt8300324,7.4,3977.0,5.641,7.2
tm420797,Sierra Burgess Is a Loser,MOVIE,A case of mistaken identity results in unexpected romance when the most popular girl in high school and the biggest loser must come together to win over their crushes.,2018,PG-13,105.0,"['romance', 'comedy', 'drama']",['US'],,tt3120280,5.8,38841.0,14.072,6.3
tm438502,Sad Hill Unearthed,MOVIE,"Film fans work to restore the set of the climatic graveyard scene from the iconic spaghetti western “The Good, the Bad and the Ugly,” directed by Sergio Leone in 1966.",2017,,86.0,"['documentation', 'european']",['ES'],,tt6997426,7.4,1613.0,6.121,7.0
tm411958,Ibiza,MOVIE,She could do the responsible thing. Or she could go to Ibiza with her best friends to chase down a hot DJ. Easy choice.,2018,,94.0,"['comedy', 'romance']",['US'],,tt3685236,5.2,17517.0,9.813,5.7
tm322243,Shimmer Lake,MOVIE,Shot in reverse day-by-day through a week—a local sheriff embarks on a quest to unlock the mystery of three small-town criminals and a bank heist gone wrong.,2017,,83.0,"['thriller', 'crime', 'drama', 'action', 'history', 'horror', 'romance']","['CA', 'US']",,tt1386691,6.3,14098.0,20.508,5.9
ts75355,Suburra: Blood on Rome,SHOW,"In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican.",2017,TV-MA,48.0,"['drama', 'action', 'crime', 'european']",['IT'],3.0,tt7197684,7.9,14528.0,23.46,7.463
tm305437,Hey Arnold! The Jungle Movie,MOVIE,"When their trip to San Lorenzo takes a turn for the worst, Arnold and his classmate’s only hope of getting home is retracing the dangerous path that led to Arnold's parents' disappearance.",2017,,81.0,"['animation', 'comedy', 'family', 'fantasy', 'thriller']",['US'],,tt5257726,7.5,3183.0,16.413,7.7
ts76417,Tabula Rasa,SHOW,"A psychological thriller about Mie, a young woman with amnesia who is locked up in a secure psychiatric hospital. Mie is visited by Detective Inspector Wolkers who claims she was the last person seen with the vanished Thomas Spectre. As a witness and prime suspect, she appears to be the sole key to this mysterious disappearance. In order to solve the puzzle and find Thomas, Mie has to reconstruct her lost memories and find her way back through the dark labyrinth of her recent past.",2017,TV-MA,52.0,"['drama', 'horror', 'thriller', 'european']",['BE'],1.0,tt9389514,8.0,10233.0,7.903,7.8
ts57080,Spirit: Riding Free,SHOW,"In a small Western town, spunky ex-city girl Lucky forms a tight bond with wild horse Spirit while having adventures with best pals Pru and Abigail.",2017,TV-Y7,23.0,"['action', 'animation', 'family', 'western', 'comedy', 'drama', 'documentation']",['US'],11.0,tt10687624,6.4,1012.0,15.689,8.3
ts53367,Little Witch Academia,SHOW,"When she was a little girl, Atsuko ""Akko"" Kagari saw a magic show performed by a witch named Shiny Chariot.  From that day on she wanted to be just like her.  Enrolling at Luna Nova Magical Academy and having no magical background, can she become a witch like her idol Shiny Chariot?",2017,TV-PG,25.0,"['scifi', 'animation', 'comedy', 'action', 'drama', 'family', 'fantasy']",['JP'],1.0,tt6352180,7.9,3147.0,13.06,8.3
tm312577,Fullmetal Alchemist,MOVIE,Two alchemist brothers go on a quest for the Philosopher's Stone after an attempt to revive their dead mother goes horribly wrong.,2017,PG-13,135.0,"['fantasy', 'scifi', 'action']",['JP'],,tt5607028,5.2,19493.0,15.705,5.3
tm413049,Animal World,MOVIE,"Drifting aimlessly through life, Kaisi has racked up debts of several million having borrowed money from his friends. Lured with the promise of writing it all off, Kaisi leaves his ailing mother and childhood sweetheart Qing to board the ship Destiny and attend a gambling party controlled by the mysterious Anderson. All players join the game with stars. For each game they lose, their opponent captures a star. Everyone is holding daggers behind their backs plotting dirty means by which to overcome their opponents. The game quickly deteriorates into a slaughter and Kaisi must battle save his own skin.",2018,R,125.0,"['thriller', 'fantasy', 'drama', 'action', 'scifi', 'comedy']",['CN'],,tt9257932,6.4,4447.0,24.922,7.2
ts81885,The Good Cop,SHOW,"Honest cop Tony Jr. gets advice from his unscrupulous father, retired NYPD officer Tony Sr., about everything from his job to his love life.",2018,TV-PG,46.0,"['drama', 'comedy', 'crime', 'documentation']",['US'],1.0,tt7183074,6.9,5732.0,8.714,6.4
ts80617,The Protector,SHOW,"The epic adventure of Hakan, a young shopkeeper whose modern world gets turned upside down when he learns he’s connected to a secret, ancient order, tasked with protecting Istanbul.",2018,TV-MA,44.0,"['action', 'fantasy', 'scifi', 'drama']",['TR'],4.0,tt7668518,6.5,34629.0,24.058,7.3
tm346467,Wheelman,MOVIE,A getaway driver for a bank robbery realizes he has been double crossed and races to find out who betrayed him.,2017,R,82.0,"['action', 'crime', 'thriller']",['US'],,tt5723286,6.4,20351.0,15.282,6.1
ts77787,Pop Team Epic,SHOW,"Crude, rude, and a little…cute? Get ready for the larger-than-life attitude of Popuko and Pipimi, the small and tall stars of Pop Team Epic! Based off the bizarre four-panel webcomic by Bukubu Okawa comes a comedy that’ll throw you off with its out-there jokes and intense absurdity. You think you’re ready for these girls? Think again, F#%**er!",2018,TV-MA,23.0,"['comedy', 'animation']",['JP'],2.0,tt7808370,6.9,844.0,7.074,7.3
ts53101,Voice,SHOW,"It's 3 minutes for hearers, but a life for the callers. A crime thriller chasing even the slightest sounds to rescue people's lives calling for urgent help.",2017,TV-14,63.0,"['crime', 'thriller', 'action']",['KR'],4.0,tt6212854,7.6,1994.0,17.025,6.9
tm299790,Cristela Alonzo: Lower Classy,MOVIE,"The irrepressible Alonzo skewers Latino stereotypes, pricey luxuries and her mother's tough-love parenting in a night of sly and infectious comedy.",2017,,66.0,['comedy'],['US'],,tt6550456,6.4,845.0,3.336,6.2
tm219258,Brain on Fire,MOVIE,"Susannah Cahalan, an up-and-coming journalist at the New York Post becomes plagued by voices in her head and seizures, causing a rapid descent into insanity.",2017,PG-13,88.0,"['drama', 'european']","['CA', 'IE']",,tt3704700,6.6,21444.0,12.009,7.1
ts85034,Patriot Act with Hasan Minhaj,SHOW,"Every Sunday, Hasan Minhaj brings an incisive and nuanced perspective to global news, politics and culture in his unique comedy series.",2018,TV-MA,25.0,['comedy'],['US'],6.0,tt8080054,8.2,7327.0,9.203,7.3
